rank,name,accuracy,n_features,status,best_kernel,features,n_samples
406,combo_4feat_043,0.5545454545454547,4,success,rbf,"nn_mean, sdnn, sdsd, hf_power",880
407,combo_5feat_028,0.5545454545454547,5,success,rbf,"nn_mean, sdsd, rmssd, lf_hf_ratio, ln_hf",880
408,combo_8feat_016,0.5545454545454546,8,success,rbf,"nn_count, nn_max, sdsd, rmssd, pnn20, pnn50, lf_norm, lf_peak",880
409,combo_5feat_025,0.5545454545454545,5,success,rbf,"nn_max, sdnn, sdsd, rmssd, lf_peak",880
410,combo_9feat_012,0.5545454545454545,9,success,rbf,"rmssd, pnn50, triangular_index, lf_power, lf_norm, hf_norm, ln_hf, lf_peak, hf_peak",880
411,combo_2feat_012,0.553409090909091,2,success,rbf,"nn_count, pnn50",880
412,combo_2feat_038,0.553409090909091,2,success,rbf,"lf_power, hf_norm",880
413,combo_4feat_075,0.5534090909090909,4,success,rbf,"nn_count, sdsd, pnn20, lf_peak",880
414,combo_2feat_025,0.5522727272727274,2,success,rbf,"lf_norm, hf_norm",880
415,combo_4feat_016,0.5522727272727274,4,success,rbf,"nn_max, sdnn, pnn50, triangular_index",880
416,combo_6feat_008,0.5522727272727274,6,success,rbf,"rmssd, pnn50, triangular_index, lf_power, lf_peak, hf_peak",880
417,combo_4feat_019,0.5522727272727272,4,success,rbf,"nn_count, sdnn, lf_hf_ratio, hf_peak",880
418,combo_9feat_008,0.5522727272727272,9,success,rbf,"nn_count, nn_mean, sdnn, rmssd, triangular_index, lf_power, hf_power, lf_norm, hf_peak",880
419,combo_11feat_019,0.5522727272727272,11,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, rmssd, pnn20, hf_power, lf_hf_ratio, lf_peak, hf_peak",880
420,combo_6feat_007,0.5522727272727271,6,success,rbf,"nn_count, nn_max, sdnn, pnn50, triangular_index, hf_peak",880
421,combo_5feat_046,0.5511363636363636,5,success,rbf,"nn_count, nn_min, sdsd, pnn50, triangular_index",880
422,combo_4feat_028,0.5511363636363635,4,success,rbf,"rmssd, triangular_index, lf_hf_ratio, ln_hf",880
423,combo_8feat_012,0.5511363636363635,8,success,rbf,"nn_mean, sdnn, sdsd, rmssd, pnn50, lf_norm, hf_norm, lf_peak",880
424,combo_3feat_031,0.55,3,success,rbf,"nn_mean, triangular_index, ln_hf",880
425,combo_4feat_056,0.5499999999999999,4,success,rbf,"sdnn, pnn20, triangular_index, hf_peak",880
426,combo_2feat_018,0.5488636363636364,2,success,rbf,"nn_max, rmssd",880
427,combo_4feat_036,0.5488636363636363,4,success,rbf,"nn_count, nn_mean, nn_max, ln_hf",880
428,combo_4feat_044,0.5488636363636363,4,success,rbf,"nn_min, sdnn, triangular_index, ln_hf",880
429,combo_4feat_057,0.5488636363636362,4,success,rbf,"nn_count, rmssd, hf_norm, hf_peak",880
430,combo_4feat_002,0.5477272727272727,4,success,rbf,"nn_count, sdsd, hf_norm, hf_peak",880
431,combo_10feat_010,0.5477272727272727,10,success,rbf,"nn_count, nn_mean, nn_min, rmssd, pnn20, pnn50, triangular_index, hf_norm, lf_peak, hf_peak",880
432,combo_4feat_021,0.5477272727272726,4,success,poly,"nn_mean, sdnn, ln_hf, hf_peak",880
433,combo_2feat_033,0.5465909090909091,2,success,rbf,"nn_count, hf_norm",880
434,combo_2feat_036,0.5465909090909091,2,success,rbf,"nn_count, lf_norm",880
