subject,sample_idx,true_label,predicted_label,correct,decision_score
desta,79,truth,truth,True,-0.43690559294669373
desta,80,truth,truth,True,-0.7650532504281047
desta,81,truth,truth,True,-1.074009447302828
desta,82,truth,truth,True,-0.30777834145216665
desta,83,truth,truth,True,-0.6856806261383939
desta,84,truth,truth,True,-0.485969750564441
desta,85,truth,lie,False,0.00702735837489156
desta,86,truth,truth,True,-0.21045571256678824
desta,87,truth,lie,False,0.027917873810694535
dewi,0,lie,lie,True,13.223499079862544
dewi,1,lie,lie,True,12.520076795554504
dewi,2,lie,lie,True,5.590298216001869
dewi,3,lie,lie,True,5.456056554248014
dewi,4,lie,lie,True,6.675799125974193
dewi,5,lie,lie,True,6.027184770441576
dewi,6,lie,lie,True,7.445287687088596
dewi,7,lie,lie,True,4.8036685603425715
dewi,8,lie,lie,True,3.701655808237359
dewi,9,lie,lie,True,3.930632901730393
dewi,10,lie,lie,True,4.330109570939094
dewi,11,truth,lie,False,0.7110210326294077
dewi,12,truth,lie,False,0.5272176583915629
dewi,13,truth,lie,False,0.4610364268929597
dewi,14,truth,lie,False,0.18425067245550047
dewi,15,truth,lie,False,0.8454249748256519
dewi,16,truth,lie,False,0.2499827507688746
dewi,17,truth,lie,False,1.274147351228304
dewi,18,truth,lie,False,1.8079779764578618
dewi,19,truth,truth,True,-0.516097555430743
dewi,20,truth,truth,True,-1.6904246259309454
dewi,21,truth,truth,True,-0.7490327210060519
dewi,22,lie,lie,True,3.2061726695828345
dewi,23,lie,lie,True,2.9188252063892066
dewi,24,lie,lie,True,2.1954513797269066
dewi,25,lie,lie,True,2.967124622529676
dewi,26,lie,lie,True,3.525366517340737
dewi,27,lie,lie,True,3.0370489236038054
dewi,28,lie,lie,True,1.9930820803136897
dewi,29,lie,lie,True,2.290538986293794
dewi,30,lie,lie,True,1.2174649784394893
dewi,31,lie,lie,True,1.332752246269853
dewi,32,lie,lie,True,1.8718314446500615
dewi,33,truth,lie,False,0.7856216818452764
dewi,34,truth,lie,False,0.9231233000664527
dewi,35,truth,truth,True,-0.43390454680718266
dewi,36,truth,lie,False,0.6106854642239417
dewi,37,truth,lie,False,1.5405882696237188
dewi,38,truth,lie,False,1.5162545394325377
dewi,39,truth,lie,False,1.6638269076341055
dewi,40,truth,lie,False,2.0261781958088636
dewi,41,truth,lie,False,1.388919221340757
dewi,42,truth,truth,True,-0.7122230007360408
dewi,43,truth,truth,True,-0.4312472960376889
dewi,44,lie,lie,True,3.484432442366672
dewi,45,lie,lie,True,3.2211420697216773
dewi,46,lie,lie,True,2.0081298413151485
dewi,47,lie,lie,True,2.0543650744414914
dewi,48,lie,lie,True,1.151151790555418
dewi,49,lie,lie,True,1.7834106536562184
dewi,50,lie,lie,True,2.1692446793226963
dewi,51,lie,lie,True,2.684947148748457
dewi,52,lie,lie,True,2.1693724846092644
dewi,53,lie,lie,True,1.6224340865377775
dewi,54,lie,lie,True,2.2567056861297856
dewi,55,truth,lie,False,4.015018221269476
dewi,56,truth,lie,False,3.8140684775163485
dewi,57,truth,lie,False,2.270648551804872
dewi,58,truth,lie,False,2.9219548833936435
dewi,59,truth,lie,False,3.2352613534029593
dewi,60,truth,lie,False,3.514624262778527
dewi,61,truth,lie,False,2.8973988963454236
dewi,62,truth,lie,False,3.247394787856863
dewi,63,truth,lie,False,2.963803379146815
dewi,64,truth,lie,False,1.5669537207348112
dewi,65,truth,lie,False,0.10802398068897295
dewi,66,lie,truth,False,-0.4965940502416983
dewi,67,lie,lie,True,0.46104435302261987
dewi,68,lie,lie,True,1.3560441907091323
dewi,69,lie,lie,True,0.1058003302353901
dewi,70,lie,lie,True,0.46087737375913723
dewi,71,lie,lie,True,2.2176493060185813
dewi,72,lie,lie,True,1.21230966193982
dewi,73,lie,truth,False,-0.23317222033603152
dewi,74,lie,truth,False,-0.8169835588892025
dewi,75,lie,truth,False,-0.14143446151827738
dewi,76,lie,truth,False,-0.5399162138934961
dewi,77,truth,lie,False,1.3853605098553032
dewi,78,truth,lie,False,1.6254122498999493
dewi,79,truth,truth,True,-0.028383619078396316
dewi,80,truth,truth,True,-0.24382449122983457
dewi,81,truth,truth,True,-0.7642185768745939
dewi,82,truth,truth,True,-1.6397209986862489
dewi,83,truth,truth,True,-0.9367389239568813
dewi,84,truth,lie,False,0.17405470539456652
dewi,85,truth,lie,False,0.2067036764013222
dewi,86,truth,lie,False,0.22565914936310488
dewi,87,truth,truth,True,-0.3180305745466125
esty,0,lie,lie,True,0.49038223208476384
esty,1,lie,lie,True,0.5691701751879813
esty,2,lie,lie,True,0.6141141691246058
esty,3,lie,lie,True,0.5964773486378588
esty,4,lie,truth,False,-0.9689750686013386
esty,5,lie,truth,False,-1.8776054763269356
esty,6,lie,truth,False,-2.239014288973066
esty,7,lie,truth,False,-1.9937499530779048
esty,8,lie,truth,False,-2.355973802716626
esty,9,lie,truth,False,-1.9812457783046025
esty,10,lie,truth,False,-1.3956056934374015
esty,11,truth,lie,False,1.0278006451914807
esty,12,truth,lie,False,0.43348702417557405
esty,13,truth,lie,False,0.5109837618960996
esty,14,truth,truth,True,-0.20770251577775578
esty,15,truth,truth,True,-0.7189865653838073
esty,16,truth,truth,True,-0.38764692456997796
esty,17,truth,lie,False,0.43996150824552427
esty,18,truth,lie,False,0.7841178453743424
esty,19,truth,lie,False,0.723128298863558
esty,20,truth,lie,False,1.105761221043319
esty,21,truth,lie,False,1.4889750775149233
esty,22,lie,truth,False,-0.26302374428331
esty,23,lie,truth,False,-1.7233294346939947
esty,24,lie,truth,False,-0.6041861201604671
esty,25,lie,truth,False,-0.8188538687404979
esty,26,lie,truth,False,-1.4674533372112695
esty,27,lie,truth,False,-2.2328597960063163
