timestamp,sender,data
2025-05-28 11:52:20,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00k')
2025-05-28 11:52:20,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:21,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:22,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:23,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:24,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:25,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00l')
2025-05-28 11:52:26,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00k')
2025-05-28 11:52:28,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00k')
2025-05-28 11:52:28,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00k')
2025-05-28 11:52:29,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:30,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:32,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:32,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:33,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:34,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:35,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:36,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:38,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:38,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:39,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:40,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:52:41,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00f')
2025-05-28 11:52:42,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:52:44,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:52:44,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:52:45,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:52:46,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:52:47,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:52:48,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:52:49,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:52:50,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:52:51,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:52,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:53,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:54,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:56,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:56,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:57,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00j')
2025-05-28 11:52:57,00002a19-0000-1000-8000-00805f9b34fb (Handle: 43): Battery Level,bytearray(b'\x1c')
2025-05-28 11:52:58,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:52:59,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:53:00,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:53:01,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00i')
2025-05-28 11:53:02,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00h')
2025-05-28 11:53:03,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00g')
2025-05-28 11:53:04,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00e')
2025-05-28 11:53:05,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00d')
2025-05-28 11:53:06,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00c')
2025-05-28 11:53:07,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:08,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:10,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:10,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:11,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:12,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00c')
2025-05-28 11:53:13,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00c')
2025-05-28 11:53:14,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00c')
2025-05-28 11:53:15,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00c')
2025-05-28 11:53:16,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:17,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:18,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00b')
2025-05-28 11:53:19,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00a')
2025-05-28 11:53:20,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00`')
2025-05-28 11:53:21,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00_')
2025-05-28 11:53:22,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00]')
2025-05-28 11:53:23,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00\\')
2025-05-28 11:53:24,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00Z')
2025-05-28 11:53:25,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00X')
2025-05-28 11:53:26,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:27,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:28,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:29,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00U')
2025-05-28 11:53:30,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:31,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:32,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:33,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00U')
2025-05-28 11:53:35,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00U')
2025-05-28 11:53:35,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:36,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:37,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:38,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:39,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:40,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:41,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00V')
2025-05-28 11:53:42,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:42,00002a19-0000-1000-8000-00805f9b34fb (Handle: 43): Battery Level,bytearray(b'\x1b')
2025-05-28 11:53:43,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:44,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:45,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:46,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:47,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
2025-05-28 11:53:48,00002a37-0000-1000-8000-00805f9b34fb (Handle: 39): Heart Rate Measurement,bytearray(b'\x00W')
