mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.028131103515625,0.0023684943277409217,0.002824854850769043,0.000986325928332641,10,1.0,poly,scale,0.0,2.0,"{'selector__k': 10, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.48214285714285715,0.48214285714285715,0.5267857142857143,0.45535714285714285,0.5089285714285714,0.5357142857142857,0.6071428571428571,0.4642857142857143,0.4732142857142857,0.5982142857142857,0.5133928571428571,0.05101801652557732,21
0.04107067584991455,0.007462184076938263,0.005226635932922363,0.007127002238634711,12,1.0,rbf,scale,,,"{'selector__k': 12, 'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5357142857142857,0.44642857142857145,0.4732142857142857,0.5089285714285714,0.3482142857142857,0.6071428571428571,0.6071428571428571,0.5267857142857143,0.4732142857142857,0.6071428571428571,0.5133928571428571,0.0787791491242111,21
0.019211792945861818,0.0036314411330707116,0.0006989240646362305,0.0014160151515107066,4,0.1,linear,,,,"{'selector__k': 4, 'svm__C': 0.1, 'svm__kernel': 'linear'}",0.5714285714285714,0.5,0.5,0.6339285714285714,0.2857142857142857,0.5982142857142857,0.5982142857142857,0.49107142857142855,0.375,0.5625,0.5116071428571429,0.103205171372171,23
0.0325965166091919,0.0024609857902139617,0.004538106918334961,0.0010113958127005486,12,1.0,poly,scale,0.0,2.0,"{'selector__k': 12, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5267857142857143,0.49107142857142855,0.5267857142857143,0.45535714285714285,0.48214285714285715,0.5357142857142857,0.625,0.4642857142857143,0.44642857142857145,0.5535714285714286,0.5107142857142858,0.05156974670783447,24
0.030695128440856933,0.00854928641211909,0.0036945104598999023,0.0034754428587923424,6,1.0,poly,scale,0.0,2.0,"{'selector__k': 6, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.42857142857142855,0.5803571428571429,0.5357142857142857,0.45535714285714285,0.48214285714285715,0.5089285714285714,0.5357142857142857,0.44642857142857145,0.5625,0.5714285714285714,0.5107142857142857,0.05218442570072306,25
0.03367846012115479,0.003391069602345601,0.010338330268859863,0.006559222896329795,6,10.0,rbf,0.1,,,"{'selector__k': 6, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5089285714285714,0.5535714285714286,0.44642857142857145,0.49107142857142855,0.36607142857142855,0.5535714285714286,0.49107142857142855,0.5357142857142857,0.5982142857142857,0.5625,0.5107142857142857,0.063612546894846,25
0.038196015357971194,0.01006635985777573,0.0064498186111450195,0.006965774559333708,4,0.1,rbf,0.01,,,"{'selector__k': 4, 'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5625,0.5,0.5357142857142857,0.5,0.48214285714285715,0.5,0.5625,0.49107142857142855,0.39285714285714285,0.5625,0.5089285714285714,0.049066541657264595,27
0.036318039894104,0.006386804380657954,0.01000227928161621,0.007000250224576057,8,10.0,rbf,0.1,,,"{'selector__k': 8, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.4642857142857143,0.49107142857142855,0.5446428571428571,0.4642857142857143,0.35714285714285715,0.48214285714285715,0.5625,0.5,0.5982142857142857,0.625,0.5089285714285714,0.07330134197062067,27
0.03295519351959229,0.004071007857650936,0.005079221725463867,0.004786005471933454,22,1.0,poly,scale,0.0,3.0,"{'selector__k': 22, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5714285714285714,0.4375,0.5357142857142857,0.5,0.4375,0.5535714285714286,0.5089285714285714,0.49107142857142855,0.49107142857142855,0.5625,0.5089285714285714,0.045175395145262566,27
0.04682576656341553,0.006769408114466334,0.013790345191955567,0.004456194553656081,15,0.1,rbf,0.01,,,"{'selector__k': 15, 'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5535714285714286,0.5267857142857143,0.5089285714285714,0.48214285714285715,0.3482142857142857,0.5803571428571429,0.6607142857142857,0.48214285714285715,0.4017857142857143,0.5267857142857143,0.5071428571428571,0.08335671440702719,30
0.04889860153198242,0.012669673571754534,0.0023601770401000975,0.0037971713500791785,4,10.0,linear,,,,"{'selector__k': 4, 'svm__C': 10, 'svm__kernel': 'linear'}",0.5446428571428571,0.5,0.5,0.6517857142857143,0.2857142857142857,0.5982142857142857,0.5535714285714286,0.49107142857142855,0.375,0.5625,0.50625,0.10133436898078901,31
0.020544552803039552,0.004297448829226813,0.003177332878112793,0.0036440496024348606,4,0.1,poly,scale,1.0,2.0,"{'selector__k': 4, 'svm__C': 0.1, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5446428571428571,0.5,0.5267857142857143,0.625,0.30357142857142855,0.5357142857142857,0.5357142857142857,0.48214285714285715,0.4642857142857143,0.5446428571428571,0.50625,0.07916275052970666,31
0.02581477165222168,0.001541618923997509,0.003371143341064453,0.000476256114284173,10,0.1,poly,scale,0.0,2.0,"{'selector__k': 10, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.4375,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.5357142857142857,0.5982142857142857,0.4375,0.5803571428571429,0.5267857142857143,0.50625,0.05145367690794254,31
0.02100396156311035,0.007024194420631685,0.005489563941955567,0.006801323322268863,6,0.1,linear,,,,"{'selector__k': 6, 'svm__C': 0.1, 'svm__kernel': 'linear'}",0.5714285714285714,0.5,0.5089285714285714,0.5535714285714286,0.2857142857142857,0.5803571428571429,0.5982142857142857,0.49107142857142855,0.4017857142857143,0.5714285714285714,0.5062499999999999,0.09192960511129354,34
0.030825328826904298,0.003130637503045222,0.003859853744506836,0.000689349184576068,8,1.0,poly,scale,0.0,2.0,"{'selector__k': 8, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5178571428571429,0.4642857142857143,0.5625,0.45535714285714285,0.5178571428571429,0.5089285714285714,0.5178571428571429,0.49107142857142855,0.5,0.5178571428571429,0.5053571428571428,0.028849097181077712,35
0.022834253311157227,0.0077079350308473776,0.00423884391784668,0.006606936254094045,4,1.0,linear,,,,"{'selector__k': 4, 'svm__C': 1, 'svm__kernel': 'linear'}",0.5446428571428571,0.5,0.5089285714285714,0.6428571428571429,0.2857142857142857,0.5982142857142857,0.5535714285714286,0.49107142857142855,0.375,0.5535714285714286,0.5053571428571428,0.09960060548131672,35
0.03208506107330322,0.0065475869328316585,0.0019130706787109375,0.001936088851853836,15,1.0,poly,scale,0.0,2.0,"{'selector__k': 15, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5446428571428571,0.5178571428571429,0.4642857142857143,0.44642857142857145,0.4642857142857143,0.5446428571428571,0.5535714285714286,0.45535714285714285,0.49107142857142855,0.5714285714285714,0.5053571428571428,0.044140025336815256,35
0.028185296058654784,0.0023081482325407045,0.0034227848052978517,0.000506306985694301,12,0.1,poly,scale,0.0,2.0,"{'selector__k': 12, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5178571428571429,0.44642857142857145,0.5089285714285714,0.4732142857142857,0.4732142857142857,0.5446428571428571,0.5892857142857143,0.4107142857142857,0.5535714285714286,0.5267857142857143,0.5044642857142858,0.05101801652557734,38
0.06463696956634521,0.013113830399489587,0.0014050722122192383,0.0031676445455761453,6,10.0,linear,,,,"{'selector__k': 6, 'svm__C': 10, 'svm__kernel': 'linear'}",0.5357142857142857,0.5,0.48214285714285715,0.5446428571428571,0.2857142857142857,0.6071428571428571,0.625,0.49107142857142855,0.4107142857142857,0.5535714285714286,0.5035714285714286,0.09349028651934588,39
