subject,from_size,to_size,child_rank,n_features,quick_accuracy,quick_std,features
bayu,15,14,34,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
bayu,15,14,35,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,36,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio"
bayu,15,14,37,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1_sd2_ratio, dfa"
bayu,15,14,38,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
bayu,15,14,39,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,15,14,40,14,0.5454545454545454,0.19284730395996752,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,41,14,0.5454545454545454,0.19284730395996752,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,42,14,0.5340909090909091,0.10078889920947022,"nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,43,14,0.5340909090909091,0.10078889920947022,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,44,14,0.5340909090909091,0.10078889920947022,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,45,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,46,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,47,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,48,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,49,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,50,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,51,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,52,14,0.5340909090909091,0.1715871462561534,"nn_count, nn_mean, nn_min, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,53,14,0.5227272727272727,0.07872958216222169,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,54,14,0.5227272727272727,0.07872958216222169,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,55,14,0.5227272727272727,0.07872958216222169,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
bayu,15,14,56,14,0.5227272727272727,0.07872958216222169,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
bayu,15,14,57,14,0.5227272727272727,0.11439143083743557,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,58,14,0.5227272727272727,0.11439143083743557,"nn_count, nn_mean, nn_min, sdnn, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,59,14,0.5227272727272727,0.3569460299815075,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, dfa"
bayu,15,14,60,14,0.5227272727272727,0.3720614896305659,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, dfa"
bayu,15,14,61,14,0.5227272727272727,0.3720614896305659,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, dfa"
bayu,15,14,62,14,0.5113636363636364,0.05719571541871782,"nn_count, nn_min, sdnn, sdsd, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,63,14,0.5,0.0,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,64,14,0.5,0.03711348095126026,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,65,14,0.5,0.03711348095126026,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,66,14,0.5,0.07422696190252055,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,67,14,0.5,0.07422696190252055,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,68,14,0.5,0.07422696190252055,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,69,14,0.5,0.07422696190252055,"nn_count, nn_mean, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,70,14,0.46590909090909094,0.06818181818181818,"nn_count, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,71,14,0.46590909090909094,0.3409090909090909,"nn_count, nn_min, sdnn, sdsd, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,72,14,0.46590909090909094,0.3409090909090909,"nn_count, nn_mean, nn_min, sdnn, sdsd, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,73,14,0.46590909090909094,0.3409090909090909,"nn_count, nn_mean, nn_min, sdnn, sdsd, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,74,14,0.46590909090909094,0.3409090909090909,"nn_count, nn_mean, nn_min, sdnn, sdsd, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,75,14,0.46590909090909094,0.3409090909090909,"nn_count, nn_mean, nn_min, sdnn, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,1,13,0.7159090909090908,0.19769679319242256,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,2,13,0.6590909090909091,0.2361887464866651,"nn_mean, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,3,13,0.6590909090909091,0.2361887464866651,"nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,14,13,4,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,5,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,6,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,14,13,7,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,8,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
