subject,stage_size,candidate_rank,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
nathan,4,3,0.005234420299530029,0.0010521779589745823,0.0019869208335876465,0.0007411863126047337,10.0,poly,scale,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.45454545454545453,0.22727272727272727,0.8636363636363636,0.5,0.5113636363636364,0.22812340795323557,39
nathan,4,3,0.0037547945976257324,0.0006012074283100623,0.0021176934242248535,0.0007222126031395666,10.0,poly,0.01,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.5,0.45454545454545453,0.6818181818181818,0.5,0.5340909090909091,0.08728574713487053,32
nathan,4,3,0.005666792392730713,0.0018510789721260619,0.0026053190231323242,0.0007463501312539674,10.0,poly,0.1,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.45454545454545453,0.3181818181818182,0.6363636363636364,0.5,0.4772727272727273,0.11363636363636363,50
nathan,4,3,0.00415116548538208,0.000685937096630729,0.00269472599029541,0.001380636337843265,10.0,poly,scale,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.2727272727272727,0.3181818181818182,0.5,0.13636363636363635,0.30681818181818177,0.13006276298022268,67
nathan,4,3,0.004942774772644043,0.0006522141125624479,0.002207040786743164,0.0012596352117554602,10.0,poly,0.01,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.5,0.5,0.3181818181818182,0.4090909090909091,0.4318181818181818,0.07537783614444091,57
nathan,4,3,0.004824936389923096,0.00023629623006165515,0.0019307136535644531,0.0002497313127772048,10.0,poly,0.1,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.3181818181818182,0.3181818181818182,0.36363636363636365,0.045454545454545456,0.26136363636363635,0.12602882393647064,71
nathan,4,3,0.005597531795501709,0.00042680809357749047,0.0028565526008605957,0.0005162466536072799,10.0,poly,scale,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.45454545454545453,0.6818181818181818,0.5454545454545454,0.5454545454545454,0.08503766788122592,30
nathan,4,3,0.00358504056930542,0.0004157688617828662,0.00275266170501709,0.0004419322466868754,10.0,poly,0.01,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.3181818181818182,0.8636363636363636,1.0,0.9090909090909091,0.7727272727272727,0.2669850028288802,10
nathan,4,3,0.004164934158325195,0.00043124355523278015,0.0015023350715637207,0.000507257067601762,10.0,poly,0.1,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.45454545454545453,0.5909090909090909,0.7272727272727273,0.5909090909090909,0.5909090909090909,0.09642365197998376,23
nathan,4,3,0.004439413547515869,0.0012357418077046931,0.0023253560066223145,0.000432822857671393,10.0,poly,scale,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.3181818181818182,0.22727272727272727,0.18181818181818182,0.3068181818181818,0.12186142380413191,66
nathan,4,3,0.004394829273223877,0.0005461224990613039,0.00229722261428833,0.00022702434280506877,10.0,poly,0.01,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.3181818181818182,0.8181818181818182,1.0,0.5909090909090909,0.6818181818181819,0.25511300364367784,16
nathan,4,3,0.005075216293334961,0.0007897641073941046,0.0022180676460266113,0.00021089638653691396,10.0,poly,0.1,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.5,0.4090909090909091,0.6818181818181818,0.5909090909090909,0.5454545454545454,0.1016394535227177,30
