combination_name,kernel,kernel_params,features,n_features,subject,sample_idx,true_label,predicted_label,correct,subject_accuracy
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,68,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,69,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,70,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,71,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,72,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,73,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,74,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,75,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,76,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,77,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,78,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,79,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,80,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,81,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,82,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,83,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,84,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,85,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,86,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,87,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,0,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,1,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,2,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,3,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,4,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,5,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,6,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,7,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,8,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,9,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,10,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,11,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,12,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,13,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,14,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,15,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,16,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,17,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,18,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,19,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,20,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,21,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,22,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,23,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,24,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,25,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,26,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,27,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,28,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,29,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,30,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,31,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,32,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,33,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,34,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,35,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,36,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,37,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,38,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,39,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,40,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,41,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,42,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,43,truth,truth,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,44,lie,lie,True,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,45,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,46,lie,truth,False,0.7045454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,desta,47,lie,truth,False,0.7045454545454546
